id,parent_id,code,description,level
block:D07,chapter:D,D07,Block D07,block
block:D09,chapter:D,D09,Block D09,block
block:D10,chapter:D,D10,Block D10,block
block:D11,chapter:D,D11,Block D11,block
block:D12,chapter:D,D12,Block D12,block
block:D13,chapter:D,D13,Block D13,block
block:D14,chapter:D,D14,Block D14,block
block:D15,chapter:D,D15,Block D15,block
block:D16,chapter:D,D16,Block D16,block
block:D17,chapter:D,D17,Block D17,block
block:D18,chapter:D,D18,Block D18,block
block:D19,chapter:D,D19,Block D19,block
block:D20,chapter:D,D20,Block D20,block
block:D21,chapter:D,D21,Block D21,block
block:D22,chapter:D,D22,Block D22,block
block:D23,chapter:D,D23,Block D23,block
block:D24,chapter:D,D24,Block D24,block
block:D25,chapter:D,D25,Block D25,block
block:D26,chapter:D,D26,Block D26,block
block:D27,chapter:D,D27,Block D27,block
block:D28,chapter:D,D28,Block D28,block
block:D29,chapter:D,D29,Block D29,block
block:D30,chapter:D,D30,Block D30,block
block:D31,chapter:D,D31,Block D31,block
block:D32,chapter:D,D32,Block D32,block
block:D33,chapter:D,D33,Block D33,block
block:D34,chapter:D,D34,Block D34,block
block:D35,chapter:D,D35,Block D35,block
block:D36,chapter:D,D36,Block D36,block
block:D37,chapter:D,D37,Block D37,block
block:D38,chapter:D,D38,Block D38,block
block:D39,chapter:D,D39,Block D39,block
block:D40,chapter:D,D40,Block D40,block
block:D41,chapter:D,D41,Block D41,block
block:D42,chapter:D,D42,Block D42,block
block:D43,chapter:D,D43,Block D43,block
block:D44,chapter:D,D44,Block D44,block
block:D45,chapter:D,D45,Block D45,block
block:D46,chapter:D,D46,Block D46,block
block:D47,chapter:D,D47,Block D47,block
block:D48,chapter:D,D48,Block D48,block
block:D50,chapter:D,D50,Block D50,block
block:D51,chapter:D,D51,Block D51,block
block:D52,chapter:D,D52,Block D52,block
block:D53,chapter:D,D53,Block D53,block
block:D55,chapter:D,D55,Block D55,block
block:D56,chapter:D,D56,Block D56,block
block:D57,chapter:D,D57,Block D57,block
block:D58,chapter:D,D58,Block D58,block
block:D59,chapter:D,D59,Block D59,block
block:D60,chapter:D,D60,Block D60,block
block:D61,chapter:D,D61,Block D61,block
block:D62,chapter:D,D62,Block D62,block
block:D63,chapter:D,D63,Block D63,block
block:D64,chapter:D,D64,Block D64,block
block:D65,chapter:D,D65,Block D65,block
block:D66,chapter:D,D66,Block D66,block
block:D67,chapter:D,D67,Block D67,block
block:D68,chapter:D,D68,Block D68,block
block:D69,chapter:D,D69,Block D69,block
block:D70,chapter:D,D70,Block D70,block
block:D71,chapter:D,D71,Block D71,block
block:D72,chapter:D,D72,Block D72,block
block:D73,chapter:D,D73,Block D73,block
block:D74,chapter:D,D74,Block D74,block
block:D75,chapter:D,D75,Block D75,block
block:D76,chapter:D,D76,Block D76,block
block:D77,chapter:D,D77,Block D77,block
block:D80,chapter:D,D80,Block D80,block
block:D81,chapter:D,D81,Block D81,block
block:D82,chapter:D,D82,Block D82,block
block:D83,chapter:D,D83,Block D83,block
block:D84,chapter:D,D84,Block D84,block
block:D86,chapter:D,D86,Block D86,block
block:D89,chapter:D,D89,Block D89,block
block:E00,chapter:E,E00,Block E00,block
block:E01,chapter:E,E01,Block E01,block
block:E02,chapter:E,E02,Block E02,block
block:E03,chapter:E,E03,Block E03,block
block:E04,chapter:E,E04,Block E04,block
block:E05,chapter:E,E05,Block E05,block
block:E06,chapter:E,E06,Block E06,block
block:E07,chapter:E,E07,Block E07,block
block:E10,chapter:E,E10,Block E10,block
block:E11,chapter:E,E11,Block E11,block
block:E12,chapter:E,E12,Block E12,block
block:E13,chapter:E,E13,Block E13,block
block:E14,chapter:E,E14,Block E14,block
block:E15,chapter:E,E15,Block E15,block
block:E16,chapter:E,E16,Block E16,block
block:E20,chapter:E,E20,Block E20,block
block:E21,chapter:E,E21,Block E21,block
block:E22,chapter:E,E22,Block E22,block
block:E23,chapter:E,E23,Block E23,block
block:E24,chapter:E,E24,Block E24,block
block:E25,chapter:E,E25,Block E25,block
block:E26,chapter:E,E26,Block E26,block
block:E27,chapter:E,E27,Block E27,block
block:E28,chapter:E,E28,Block E28,block
block:E29,chapter:E,E29,Block E29,block
block:E30,chapter:E,E30,Block E30,block
block:E31,chapter:E,E31,Block E31,block
block:E32,chapter:E,E32,Block E32,block
block:E34,chapter:E,E34,Block E34,block
block:E35,chapter:E,E35,Block E35,block
block:E40,chapter:E,E40,Block E40,block
block:E41,chapter:E,E41,Block E41,block
block:E42,chapter:E,E42,Block E42,block
block:E43,chapter:E,E43,Block E43,block
block:E44,chapter:E,E44,Block E44,block
block:E45,chapter:E,E45,Block E45,block
block:E46,chapter:E,E46,Block E46,block
block:E50,chapter:E,E50,Block E50,block
block:E51,chapter:E,E51,Block E51,block
block:E52,chapter:E,E52,Block E52,block
block:E53,chapter:E,E53,Block E53,block
block:E54,chapter:E,E54,Block E54,block
block:E55,chapter:E,E55,Block E55,block
block:E56,chapter:E,E56,Block E56,block
block:E58,chapter:E,E58,Block E58,block
block:E59,chapter:E,E59,Block E59,block
block:E60,chapter:E,E60,Block E60,block
block:E61,chapter:E,E61,Block E61,block
block:E63,chapter:E,E63,Block E63,block
block:E64,chapter:E,E64,Block E64,block
block:E65,chapter:E,E65,Block E65,block
